id,category,insurer_name,plan_name,key_benefits,price_range,pb_redirect_url
health-1,health,HDFC ERGO,Optima Secure,"2x coverage from day 1 | Restoration benefit | 14,000+ cashless hospitals",Coverage: ₹5 lakh to ₹2 crore,https://www.policybazaar.com/insurance-companies/hdfc-ergo-health-insurance/optima-secure-plan/
health-2,health,Niva Bupa,ReAssure 2.0,"Unlimited sum insured options | Booster and ReAssure+ | Annual health check-ups",Coverage: ₹5 lakh to ₹1 crore,https://www.policybazaar.com/insurance-companies/max-bupa-health-insurance/reassure-2-0-plan/
health-3,health,Care Health,Care Supreme,"Unlimited automatic recharge | Day 31 cover for select PEDs | Claims Shield optional cover",Coverage: ₹5 lakh to ₹1 crore,https://www.policybazaar.com/insurance-companies/religare-health-insurance/care-supreme/
health-4,health,Star Health,Star Comprehensive,"Automatic restoration | Maternity and hospital cash options | Preventive health check-ups",Coverage: ₹5 lakh to ₹1 crore,https://www.policybazaar.com/insurance-companies/star-health-insurance/star-comprehensive-insurance-policy/
life-1,life,HDFC Life,Click 2 Protect Supreme,"Life, Life Plus, and Life Goal options | Terminal illness benefit | Optional waiver of premium riders",Starting from ₹13/day,https://www.policybazaar.com/term-insurance/hdfc-life-click-2-protect-supreme-term-plan/
life-2,life,ICICI Prudential,iProtect Smart Plus,"Life stage protection | Critical illness and accidental death options | Flexible payout choices",Minimum premium from ₹2,400/year,https://www.policybazaar.com/term-insurance/icici-pru-iprotect-smart-term-plan/
life-3,life,Tata AIA,Sampoorna Raksha Supreme,"Life cover till 100 years | Payor accelerator benefit | Top-up life stage option",Starting from ₹13/day,https://www.policybazaar.com/term-insurance/tata-aia-sampoorna-raksha-supreme/
life-4,life,ICICI Prudential,All-in-One Term Plan,"Life cover plus critical illness cover | Accidental coverage | Flexible premium payment",Coverage from ₹50 lakh+,https://www.policybazaar.com/term-insurance/icici-all-in-one-term-plan/
car-1,car,HDFC ERGO,Comprehensive Car Insurance,"Third-party plus own-damage cover | Theft and fire protection | Add-ons like NCB protector",Starting from ₹2,094/year,https://www.policybazaar.com/insurance-companies/hdfc-ergo-car-insurance/comprehensive/
car-2,car,ICICI Lombard,Comprehensive Car Insurance,"5900+ network garages | Own damage and third-party cover | Engine Protect add-on",Starting from ₹2,094/year,https://www.policybazaar.com/insurance-companies/icici-lombard-car-insurance/
car-3,car,TATA AIG,Car Insurance,"7500+ cashless garages | 24x7 emergency assistance | Zero dep and roadside assistance",Starting from ₹2,094/year,https://www.policybazaar.com/insurance-companies/tata-aig-car-insurance/
car-4,car,Bajaj Allianz,Car Insurance,"Comprehensive and third-party options | Add-on customisation | Quick digital renewal flow",Starting from ₹2,094/year,https://www.policybazaar.com/insurance-companies/bajaj-allianz-car-insurance/
motor-1,motor,HDFC ERGO,Comprehensive Bike Insurance,"Own-damage plus third-party cover | Theft and disaster cover | Add-on flexibility",Starting from ₹1.3/day,https://www.policybazaar.com/insurance-companies/hdfc-ergo-two-wheeler-insurance/comprehensive/
motor-2,motor,ICICI Lombard,Comprehensive Bike Insurance,"Accident and theft protection | Third-party liability cover | Multi-year policy options",Starting from ₹1.3/day,https://www.policybazaar.com/insurance-companies/icici-lombard-two-wheeler-insurance/comprehensive/
motor-3,motor,Bajaj Allianz,Comprehensive Bike Insurance,"Accident and theft cover | Third-party death and injury protection | Add-ons available",Starting from ₹1.3/day,https://www.policybazaar.com/insurance-companies/bajaj-allianz-two-wheeler-insurance/comprehensive/
motor-4,motor,TATA AIG,Comprehensive Bike Insurance,"Own damage plus TP cover | Personal accident cover | Natural and man-made calamity cover",Starting from ₹1.3/day,https://www.policybazaar.com/insurance-companies/tata-aig-two-wheeler-insurance/comprehensive/
